,상권_코드,상권_코드_명,위도,경도,총_유동인구_수,당월_매출_금액
547,3110530,아현역 1번,37.55752775275119,126.9536315870961,163987,1514813176
548,3110577,용강동주민센터,37.54339595069852,126.94405610152825,501226,8014491619
549,3110578,대흥역 2번,37.54823479181836,126.94507094731418,2493573,8715549926
550,3110551,성서초등학교,37.55953848873831,126.9095808699743,1353559,2308284666
551,3110552,성미산체육관,37.56408906883805,126.91029976327316,536910,1810565103
552,3110590,만리재,37.55007064296527,126.9625083603722,1667581,2088644962
553,3110591,충정로역 6번,37.558287719911306,126.96243633709508,673819,6166723820
554,3110592,서울금융고등학교,37.53595534575109,126.82563401264188,234876,329294483
555,3110420,광운대역 1번,37.62105976995062,127.05964942521172,466124,4001693429
556,3110468,응암역 3번,37.60326100173212,126.9182365734336,2414801,4722532353
557,3110469,응암정보도서관,37.58619648793464,126.91861754570076,1320650,10001858491
558,3110579,마포역 4번,37.53608932175848,126.9450798570434,377795,800392407
559,3110429,공릉동 국수거리,37.62103417354386,127.07311752729493,1837384,10726462389
560,3110406,도봉산역 1번,37.68982127455393,127.04215366082332,279725,5607363790
561,3110407,도봉역 2번,37.67549614086917,127.04096665862696,1035631,8181695860
562,3110408,가인초등학교,37.65879177963506,127.04149012943236,247230,5127409213
563,3110432,대진고등학교,37.636143612619605,127.07327961483666,323029,1858247263
564,3110433,공릉역 2번,37.62447424820976,127.07580558296289,1397905,639814991
565,3110434,태릉입구역 4번,37.62081600933058,127.07616433988332,482876,362261970
566,3110435,서울과학기술대,37.62956456313447,127.07620725251864,125834,2369038360
567,3110692,큰굴다리,37.49959252924015,126.84627816117744,822054,190988284
568,3110693,오류동역 4번,37.496330897706166,126.84628484691748,169493,344939233
569,3110694,세곡초등학교,37.50475669640574,126.84736461127714,1919600,2823408517
570,3110695,개봉1동주민센터,37.50051860479138,126.8517950693802,1363665,7608261255
571,3110696,오류동역 1번,37.49400453363189,126.85195494682536,867302,1370995571
572,3110663,우장산롯데캐슬아파트앞,37.55417025454575,126.84944809476411,214726,2635745329
573,3110664,강서구청옆,37.55132640042599,126.85205665693027,289311,1446522561
574,3110665,곰달래도서관,37.5296491073922,126.85265383966636,3142356,4574001919
575,3110666,KC대학교,37.54927286665986,126.8526491681956,213728,3104447241
576,3110667,가양역 10번,37.56170718526108,126.853100050414,42478,9199338686
