번호,자치구명,관리번호,도로(가로)명,설치위치,           설치지점,     수거 쓰레기 종류,              형태,설치연도,데이터기준일자
50,양천구,25,중앙로228,해성산부인과 버스정류장 앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
51,양천구,26,오목로195,신정4동 신협앞,⑥ 횡단보도 입구,① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
52,양천구,26,오목로195,신정4동 신협앞,⑥ 횡단보도 입구,② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
53,양천구,27,중앙로209,신정3동 주민센터 앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
54,양천구,27,중앙로209,신정3동 주민센터 앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
55,양천구,28,목동동로50,12단지 버스정류장 앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
56,양천구,28,목동동로50,12단지 버스정류장 앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
57,양천구,29,목동중앙남로3가길59,대일고등학교 버스정류장,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
58,양천구,29,목동중앙남로3가길59,대일고등학교 버스정류장,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
59,양천구,30,공항대로,"염창역,중앙 버스정류장",⑦ 버스중앙차로내,① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
60,양천구,30,공항대로,"염창역,중앙 버스정류장",⑦ 버스중앙차로내,② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
61,양천구,31,공항대로,등촌역4번출구 앞,② 지하철역 입구,① 일반쓰레기 수거용,① 일반 사각쓰레기통,2019년,2023-01-21
