연번,자치구명,관리번호,도로(가로)명,설치위치,설치지점,수거쓰레기종류,형태,설치연도
126,영등포구,영등포-2024-02,신길동 3591,신풍역.백악관웨딩문화원앞(19249),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
127,영등포구,영등포-2024-02,신길동 3591,신풍역.백악관웨딩문화원앞(19249),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
128,영등포구,영등포-2024-03,신길동 253-314,포레나신길아파트(19233),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
129,영등포구,영등포-2024-03,신길동 253-314,포레나신길아파트(19233),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
130,영등포구,영등포-2024-04,신길로 89,신풍역.백악관웨딩문화원앞(19241),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
131,영등포구,영등포-2024-04,신길로 89,신풍역.백악관웨딩문화원앞(19241),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
132,영등포구,영등포-2024-05,신길동 104-6,대윤병원(19229),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
133,영등포구,영등포-2024-05,신길동 104-6,대윤병원(19229),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
134,영등포구,영등포-2024-06,신길로 200-17 ,신길동홍어거리(19240),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
135,영등포구,영등포-2024-06,신길로 200-17 ,신길동홍어거리(19240),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
136,영등포구,영등포-2024-07,신길동 1376-1,"대방역(19254,19430)신길1동새마을금고방면","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
137,영등포구,영등포-2024-07,신길동 1376-1,"대방역(19254,19430)신길1동새마을금고방면","정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
138,영등포구,영등포-2024-08,신길동 31-10,신길역1호선(19300)신길1동새마을금고방면,"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
139,영등포구,영등포-2024-08,신길동 31-10,신길역1호선(19300)신길1동새마을금고방면,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
140,영등포구,영등포-2024-09,양화동 1-73,양평동한솔아파트(19134),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
141,영등포구,영등포-2024-09,양화동 1-73,양평동한솔아파트(19134),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
142,영등포구,영등포-2024-10,양화동 1-48,양평동한솔아파트(19218),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
143,영등포구,영등포-2024-10,양화동 1-48,양평동한솔아파트(19218),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
144,영등포구,영등포-2024-11,양평로 70-1,당산119안전센터.당산역(19173),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
145,영등포구,영등포-2024-11,양평로 70-1,당산119안전센터.당산역(19173),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
146,영등포구,영등포-2024-12,당산로 214,당산역삼성래미안아파트(19174),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
147,영등포구,영등포-2024-12,당산로 214,당산역삼성래미안아파트(19174),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
148,영등포구,영등포-2024-13, 양평로 24,당산역삼성래미안아파트(19175),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
149,영등포구,영등포-2024-13, 양평로 24,당산역삼성래미안아파트(19175),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
150,영등포구,영등포-2024-14,영중로 145,삼환아파트(19125),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
151,영등포구,영등포-2024-14,영중로 145,삼환아파트(19125),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
152,영등포구,영등포-2024-15,영중로 154,당산푸르지오아파트(19126),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
153,영등포구,영등포-2024-15,영중로 154,당산푸르지오아파트(19126),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
154,영등포구,영등포-2024-16,양평동1가 20,양평신동아아파트(19203),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
155,영등포구,영등포-2024-16,양평동1가 20,양평신동아아파트(19203),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
156,영등포구,영등포-2024-17,문래동3가 68-1,문래역1번출구(19318),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
157,영등포구,영등포-2024-17,문래동3가 68-1,문래역1번출구(19318),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
158,영등포구,영등포-2024-18,문래동3가 55-12,"문래자이아파트상가(19305, 19693)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
159,영등포구,영등포-2024-18,문래동3가 55-12,"문래자이아파트상가(19305, 19693)","정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
160,영등포구,영등포-2024-19,영등포로 252,영등포로터리(19107)신길역5호선방면,"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
161,영등포구,영등포-2024-19,영등포로 252,영등포로터리(19107)신길역5호선방면,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
162,영등포구,영등포-2024-20,영등포로 255,영등포로터리(19106)영등포시장방면,"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
163,영등포구,영등포-2024-20,영등포로 255,영등포로터리(19106)영등포시장방면,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
164,영등포구,영등포-2024-21,문래동3가 68-1,문래역3번출구(19192)문래힐스테이트방면,"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
165,영등포구,영등포-2024-21,문래동3가 68-1,문래역3번출구(19192)문래힐스테이트방면,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
