정류장번호,경도,위도,정류장명,행정동
16209,126.8382264,37.54406298,대원시장,화곡동
16210,126.8373132,37.54452489,대원시장,화곡동
16211,126.8361316,37.54717968,화곡중고등학교,화곡동
16212,126.8364541,37.54719004,화곡중고등학교,화곡동
16213,126.8365028,37.549241,우장산역,화곡동
16220,126.8389703,37.56017015,발산역3번출구,등촌동
16221,126.839465,37.562868,서울호서전문학교.등촌주공3단지아파트,등촌동
16222,126.839755,37.562662,서울호서전문학교.등촌주공3단지아파트,등촌동
16223,126.8404735,37.56489336,서울강서우체국,등촌동
16225,126.8415698,37.56897914,양천향교역.휴먼빌아파트,가양동
16226,126.8414495,37.57020806,양천향교입구,가양동
16227,126.8432785,37.57039253,가양한강타운아파트,가양동
16228,126.8438103,37.57050587,가양한강타운아파트,가양동
16229,126.8464071,37.56952799,가양2단지성지아파트.동양고등학교,가양동
16230,126.8476423,37.56948093,가양2단지성지아파트.동양고등학교,가양동
16231,126.8487305,37.56877857,한보구암마을아파트,가양동
16232,126.8496503,37.56848329,가양동천주교영등포공업고등학교,가양동
16233,126.8511694,37.56681099,서울서진학교.우체국앞.허준박물관,가양동
16234,126.8517606,37.56669819,탑산초등학교 허준박물관,가양동
16235,126.8531103,37.56533563,가양도시개발4단지아파트,가양동
16236,126.8532162,37.56558806,대림경동아파트,가양동
16237,126.85513,37.564242,가양도시개발5단지아파트,가양동
16238,126.8556381,37.56417994,가양2동강변아파트,가양동
16239,126.8579044,37.56294639,가양3동도시개발6단지아파트,가양동
16240,126.85982,37.561717,가양초등학교,가양동
16241,126.859407,37.56096582,강서구청별관,가양동
16242,126.860753,37.56141252,가양3동주민센터,가양동
16243,126.863307,37.559812,가양3동도시개발9단지아파트,가양동
16244,126.8638406,37.55971846,가양도시개발9단지.세현고등학교,가양동
16245,126.8776266,37.54912227,염창동아3차아파트.나이아가라호텔,염창동
16246,126.8776893,37.54881687,염창동리버파크호텔,염창동
16247,126.873324,37.55023509,염창동새마을금고,염창동
16248,126.8727945,37.55015703,염창동새마을금고,염창동
16249,126.8697189,37.55304709,염창동한마음.관음삼성아파트,염창동
16250,126.8693581,37.55292955,염창동관음삼성아파트,염창동
16251,126.8654574,37.55506527,태영.삼성한사랑아파트,등촌동
16252,126.865485,37.55544736,금호.한솔아파트,염창동
16253,126.8637439,37.55624283,블루나인비지니스센터.이마트,등촌동
16254,126.8639189,37.55650706,블루나인비지니스센터.이마트,염창동
16255,126.8617662,37.55766336,이마트.강서소방서,가양동
16256,126.8617195,37.55723078,강서소방서.이마트.증미역,등촌동
16257,126.8563498,37.56021961,가양역.현대프린스텔,등촌동
16258,126.856602,37.560458,가양역.현대아파트,가양동
16259,126.8539737,37.56145209,가양역.우성아파트,등촌동
16260,126.8533962,37.56216594,가양역.우성아파트,가양동
16261,126.8508002,37.5634891,SBS공개홀,가양동
16262,126.849849,37.5636591,SBS공개홀,등촌동
16263,126.8526273,37.56408453,가양4.5단지상가앞,가양동
16264,126.8501204,37.56605635,서울서진학교,가양동
16265,126.848394,37.56440514,등촌동대림아파트,등촌동
16266,126.847871,37.56501451,강서한강자이아파트,가양동
16267,126.8449188,37.56660831,가양동CJ주식회사,가양동
16268,126.8437511,37.56690232,가양동CJ주식회사,가양동
16269,126.8403425,37.56906849,양천초등학교.겸재정선미술관,가양동
16279,126.818567,37.573207,방화동도시개발2단지아파트,방화동
16280,126.818945,37.57346468,방화동도시개발2단지아파트,방화동
16281,126.8180793,37.57285781,공항버스종점입구,방화동
16282,126.8530559,37.56191051,가양역10번출구,등촌동
16283,126.8138644,37.57332251,방화동동부센트레빌아파트,방화동
16284,126.814217,37.573528,방화동동부센트레빌아파트,방화동
16285,126.8104924,37.57308557,방화사거리,방화동
16286,126.809892,37.573287,방화사거리,방화동
16287,126.8060834,37.57242872,개화산역,방화동
16288,126.8052934,37.57277106,개화산역,방화동
16291,126.8456832,37.55989166,등촌3동천주교회,등촌동
16292,126.8460351,37.5599579,등촌3동천주교회,등촌동
16293,126.84519,37.561745,등촌3동5단지아파트.등촌고등학교,등촌동
16294,126.8455808,37.56177301,등촌3동5단지아파트.등촌고등학교,등촌동
16295,126.8430372,37.56240403,등촌3동주공4단지아파트,등촌동
16296,126.8431058,37.56260957,등촌동부영아파트,등촌동
16297,126.8474153,37.56196643,등촌3동주공10단지아파트,등촌동
16298,126.8472923,37.5623231,등촌3동대림아파트,등촌동
16303,126.8165204,37.57561724,강서공업고등학교,방화동
16304,126.8169914,37.57513138,방화동도시개발1.2단지아파트,방화동
16305,126.8168323,37.56951691,서울항공비즈니스고등학교,방화동
16306,126.8163793,37.56896517,서울항공비즈니스고등학교,방화동
16307,126.816305,37.563222,공항중학교,공항동
16309,126.8407117,37.56685861,양천향교역,등촌동
16310,126.8206583,37.57187326,방화2차우림아파트,방화동
16313,126.8132957,37.57845783,방화3동주민센터,방화동
16314,126.8132881,37.57696831,방화동삼익아파트,방화동
16317,126.8165392,37.5550003,다솔마을,공항동
16319,126.8185004,37.55653699,반야정사입구,공항동
16321,126.8126738,37.56998479,방신전통시장,방화동
16322,126.8125292,37.56669108,방화주유소,방화동
16325,126.8399047,37.55939918,발산역원당사거리,등촌동
16326,126.8098045,37.56043494,제과점앞,공항동
16327,126.811612,37.557387,공항동천주교회,공항동
16328,126.8390315,37.53012593,강서한방병원,화곡동
16329,126.8393407,37.52999299,강서한방병원,화곡동
16330,126.8500719,37.56636461,강서한강자이아파트,가양동
16332,126.859807,37.561162,강서구청별관,가양동
16334,126.8432439,37.56584647,등촌주공1.2단지,등촌동
16335,126.8425802,37.56383165,등촌2단지부영아파트,등촌동
16336,126.8417743,37.56167516,등촌3.4단지,등촌동
16337,126.8391468,37.55967839,발산역3번출구,등촌동
16339,126.8416542,37.5478333,우장산동주민센터,화곡동
16340,126.8443895,37.54678446,문성유치원,화곡동
16341,126.8459178,37.54712167,제일성심병원,화곡동
16342,126.861713,37.560708,가양7단지상가,가양동
16343,126.852638,37.56432942,가양4.5단지,가양동
16344,126.850602,37.561643,등촌주공9단지,등촌동
16345,126.850182,37.559912,강서구민올림픽체육센터,등촌동
16346,126.848477,37.560553,등촌주공6단지,등촌동
16347,126.846958,37.561208,등현초등학교,등촌동
16348,126.8619155,37.56077051,가양7단지상가앞,가양동
16350,126.8434782,37.54743835,우장산휴먼빌아파트,화곡동
16351,126.8415089,37.54802414,우장산동주민센터,화곡동
16352,126.8369118,37.54801338,양서1단지우장산아이파크이편한세상,화곡동
16354,126.8420053,37.561616,등촌주공3.4단지,등촌동
16355,126.843218,37.5641614,부영주공1단지,등촌동
16356,126.842626,37.5663016,등촌주공1.2단지,등촌동
16357,126.857925,37.5627,가양6.8단지,가양동
16361,126.8451717,37.54667195,제일성심병원,화곡동
16364,126.8369631,37.54785305,강서힐스테이트아파트,화곡동
16365,126.846805,37.561053,미주아파트등현초등학교,등촌동
16366,126.848447,37.560355,등촌주공6단지앞,등촌동
16367,126.850322,37.559795,강서구민올림픽체육센터,등촌동
16368,126.850932,37.561875,등촌9단지SBS공개홀,등촌동
16369,126.852823,37.563943,가양4.5단지상가앞,가양동
16372,126.8213183,37.57094163,마곡푸르지오아파트,방화동
16373,126.8117012,37.57159607,삼정그린코아아파트,방화동
16374,126.812847,37.567943,강서농협,방화동
16375,126.812767,37.568388,강서농협,방화동
16376,126.805304,37.568165,서울방화초등학교,방화동
16378,126.810557,37.55883,공항동주민센터,공항동
16379,126.8123522,37.55602997,천주교성당,공항동
16380,126.8182166,37.55499658,다솔마을,공항동
16381,126.8152596,37.55482349,송정중후문,공항동
16389,126.8041242,37.55883343,김포공항국내선,공항동
16390,126.8047524,37.55838032,김포공항국내선,공항동
16391,126.801112,37.56531,김포공항국제선,방화동
16392,126.8010313,37.56499803,김포공항국제선,방화동
16402,126.8185665,37.55655486,마곡13단지힐스테이트후문,공항동
16406,126.8125404,37.56675147,방화주유소,방화동
16407,126.8122235,37.56132008,송정역,공항동
16409,126.8028776,37.55983877,김포공항국내선,공항동
16424,126.8552227,37.53137688,화곡2동주민센터,화곡동
16425,126.8547626,37.53116636,화곡2동주민센터,화곡동
16430,126.810619,37.558964,공항동주민센터,공항동
16431,126.816922,37.572868,신방화사거리,방화동
16432,126.816446,37.57286309,신방화사거리,방화동
16433,126.8117127,37.5701349,방화2동우촌연립,방화동
16436,126.8118934,37.56656391,방화2동청성아파트,방화동
16450,126.8755585,37.54931475,강서연세병원,염창동
16451,126.802865,37.562422,롯데몰.김포공항,방화동
16453,126.8162042,37.5545213,송정중학교후문,공항동
16462,126.871042,37.55378212,염창동주민센터,염창동
16463,126.8560563,37.53505528,대통마트,화곡동
16464,126.856939,37.53559701,강원슈퍼,화곡동
16465,126.8582738,37.53645556,방글방글슈퍼,화곡동
16466,126.8591687,37.53713606,경북하이마트,화곡동
16467,126.8584806,37.53779304,한광고,화곡동
16468,126.8575412,37.53728369,신정여상,화곡동
16469,126.8563782,37.53654698,명지해드는터아파트,화곡동
16470,126.8558383,37.53644537,대성마트,화곡동
16471,126.8549372,37.53741388,미주아파트,화곡동
16472,126.8540903,37.53708664,방송인아파트,화곡동
16473,126.858041,37.53151997,곰달래약국,화곡동
16474,126.8581895,37.53076413,원비디오,화곡동
16475,126.8565275,37.52951501,곰달래아파트,화곡동
16476,126.8541282,37.52921921,삼성아파트,화곡동
16477,126.8518828,37.52893527,은창아파트,화곡동
16478,126.8478042,37.52939505,화곡전화국,화곡동
16479,126.8459873,37.53257267,까치산역,화곡동
16480,126.846278,37.53374267,까치시장,화곡동
16481,126.8466849,37.53613111,까치약국,화곡동
16482,126.8479875,37.53660497,개나리슈퍼,화곡동
16483,126.8491907,37.53703273,빨래세탁소,화곡동
16484,126.8545226,37.53647623,공작세탁소,화곡동
16485,126.8551212,37.53590026,대성정육점,화곡동
16486,126.8559979,37.53484255,대통마트,화곡동
16487,126.857847,37.53175403,국민약국,화곡동
16488,126.8549832,37.53582981,대성정육점,화곡동
16489,126.8516393,37.53877765,약수터,화곡동
