정류장번호,경도,위도,정류장명,행정동
16393,126.8378252,37.55788431,발산역7번출구,발산1동
16394,126.8175575,37.56739634,신방화역5번출구,방화1동
16395,126.8212536,37.56708556,마곡엠밸리6.7단지.마곡중학교,방화1동
16396,126.8259403,37.56678006,마곡나루역,방화1동
16397,126.8268823,37.561222,마곡역,가양1동
16398,126.827173,37.561329,마곡역,가양1동
16399,126.8265563,37.56695587,마곡나루역1번출구,가양1동
16400,126.8314961,37.55946749,마곡동로사거리,가양1동
16401,126.8214569,37.5601214,마곡엠밸리11.12단지,공항동
16402,126.8185665,37.55655486,마곡13단지힐스테이트후문,공항동
16403,126.8216429,37.55843228,공진초등학교,공항동
16406,126.8125404,37.56675147,방화주유소,방화2동
16407,126.8122235,37.56132008,송정역,공항동
16408,126.8213322,37.54520915,외발산동기점,발산1동
16409,126.8028776,37.55983877,김포공항국내선,공항동
16410,126.798872,37.562433,한국공항공사,공항동
16411,126.798863,37.56242,한국공항공사,공항동
16412,126.7984631,37.56254745,이마트(가상),공항동
16413,126.80181,37.588697,개화동상사마을종점,방화2동
16416,126.8232308,37.54921918,마곡수명산파크7단지,발산1동
16417,126.8254494,37.55147161,마곡수명산파크5단지6단지,발산1동
16418,126.8264227,37.55490711,마곡수명산파크2단지,발산1동
16419,126.826058,37.554787,마곡수명산파크2단지,발산1동
16420,126.8252226,37.55168483,마곡수명산파크3단지4단지,발산1동
16421,126.822762,37.549322,마곡수명산파크7단지,발산1동
16422,126.825491,37.559571,마곡역,발산1동
16423,126.8243288,37.56021843,마곡역,가양1동
16424,126.8552227,37.53137688,화곡2동주민센터,화곡2동
16425,126.8547626,37.53116636,화곡2동주민센터,화곡2동
16427,126.826412,37.557467,마곡엠밸리14단지아파트,발산1동
16428,126.8267496,37.55743876,마곡엠밸리15단지아파트,발산1동
16429,126.836689,37.55885232,발산역9번출구,가양1동
16430,126.810619,37.558964,공항동주민센터,공항동
16431,126.816922,37.572868,신방화사거리,방화1동
16432,126.816446,37.57286309,신방화사거리,방화1동
16433,126.8117127,37.5701349,방화2동우촌연립,방화2동
16434,126.797811,37.57845,개화역광역환승센터,방화2동
16435,126.797978,37.57822,개화역광역환승센터,방화2동
16436,126.8118934,37.56656391,방화2동청성아파트,방화2동
16450,126.8755585,37.54931475,강서연세병원,염창동
16451,126.802865,37.562422,롯데몰.김포공항,방화2동
16453,126.8162042,37.5545213,송정중학교후문,공항동
16462,126.871042,37.55378212,염창동주민센터,염창동
16463,126.8560563,37.53505528,대통마트,화곡4동
16464,126.856939,37.53559701,강원슈퍼,화곡4동
16465,126.8582738,37.53645556,방글방글슈퍼,화곡4동
16466,126.8591687,37.53713606,경북하이마트,화곡4동
16467,126.8584806,37.53779304,한광고,화곡4동
16468,126.8575412,37.53728369,신정여상,화곡4동
16469,126.8563782,37.53654698,명지해드는터아파트,화곡4동
16470,126.8558383,37.53644537,대성마트,화곡4동
16471,126.8549372,37.53741388,미주아파트,화곡4동
16472,126.8540903,37.53708664,방송인아파트,화곡4동
16473,126.858041,37.53151997,곰달래약국,화곡4동
16474,126.8581895,37.53076413,원비디오,화곡4동
16475,126.8565275,37.52951501,곰달래아파트,화곡2동
16476,126.8541282,37.52921921,삼성아파트,화곡2동
16477,126.8518828,37.52893527,은창아파트,화곡2동
16478,126.8478042,37.52939505,화곡전화국,화곡1동
16479,126.8459873,37.53257267,까치산역,화곡1동
16480,126.846278,37.53374267,까치시장,화곡8동
16481,126.8466849,37.53613111,까치약국,화곡8동
16482,126.8479875,37.53660497,개나리슈퍼,화곡8동
16483,126.8491907,37.53703273,빨래세탁소,화곡8동
16484,126.8545226,37.53647623,공작세탁소,화곡4동
16485,126.8551212,37.53590026,대성정육점,화곡4동
16486,126.8559979,37.53484255,대통마트,화곡2동
16487,126.857847,37.53175403,국민약국,화곡2동
16488,126.8549832,37.53582981,대성정육점,화곡2동
16489,126.8516393,37.53877765,약수터,화곡8동
16490,126.8240687,37.54710826,신광명마을,발산1동
16491,126.8240952,37.54930247,수명중고등학교,발산1동
16492,126.8244871,37.55061504,마곡.수명산파크4단지,발산1동
16493,126.8065584,37.56426742,방화중학교,방화2동
16494,126.8680232,37.55510781,한마음아파트,염창동
16495,126.8708997,37.55551558,우성아파트앞,염창동
16496,126.8709494,37.55556159,우성아파트,염창동
16497,126.8517273,37.53664757,봉제산정상,화곡8동
16498,126.8184522,37.58340384,생태공원,방화3동
16499,126.8400698,37.55942198,NC백화점앞,등촌3동
16500,126.8737556,37.54729799,염창역1번출구.강서평생학습관,염창동
16501,126.8563185,37.53669741,명지해드는터아파트,화곡4동
16502,126.8541662,37.55445714,하이웨이주유소,화곡6동
16503,126.8194426,37.57883323,서광아파트,방화3동
16504,126.8243936,37.5655291,마곡엠밸리7단지앞,방화1동
16505,126.8751414,37.54833031,대림아파트,염창동
16506,126.8531016,37.55249234,하나마트,화곡6동
16507,126.8186173,37.57600074,정곡초교,방화3동
16508,126.8429615,37.55909511,등명중학교,등촌3동
16509,126.8760291,37.54946212,동아3차아파트,염창동
16510,126.8551022,37.53750509,미주아파트,화곡4동
16511,126.8520878,37.55062851,백연공원,화곡6동
16512,126.8134051,37.57681441,방화4단지,방화3동
16513,126.8458654,37.55882591,등촌3동성당사거리,등촌3동
16514,126.8732765,37.55023775,새마을금고,염창동
16515,126.8540245,37.53715955,방송인아파트,화곡4동
16516,126.8512243,37.54947853,KC대학교,화곡6동
16517,126.8135875,37.57859255,방화3동주민센터,방화3동
16518,126.8476783,37.55956986,등촌6단지,등촌3동
16519,126.8703833,37.55242246,관음삼성.보람더하임아파트,염창동
16520,126.8544107,37.53642473,공작세탁소,화곡2동
16521,126.8502357,37.54861944,골목시장,화곡6동
16522,126.8123069,37.57680366,방화역,방화3동
16523,126.8487623,37.56140678,등촌9단지,등촌3동
16524,126.870934,37.55335209,염창중학교,염창동
16525,126.8558936,37.53496227,대통마트,화곡2동
16526,126.8492844,37.54780995,SK브로드밴드강서방송,화곡6동
16527,126.8192213,37.57575747,정곡초교,방화3동
16528,126.8205428,37.56226065,강서세무서.공항초교,공항동
16529,126.8576985,37.53251978,남부시장,화곡2동
16530,126.8474755,37.54577025,태원빌딩,화곡본동
16531,126.8203507,37.57411741,방화2단지,방화3동
16532,126.8166372,37.55443733,다솔마을,공항동
16533,126.8461489,37.54425919,국민은행,화곡본동
16534,126.8256188,37.55799191,마곡엠밸리14단지,발산1동
16535,126.8528365,37.56126595,등촌7단지아파트,등촌3동
16536,126.8698493,37.55617403,삼천리아파트,염창동
16537,126.8580424,37.53074774,원비디오,화곡2동
16538,126.84422,37.54283113,본동시장,화곡본동
16539,126.8248517,37.55835338,마곡엠밸리14단지,발산1동
16540,126.8114927,37.57486654,한서고등학교.보람아파트,방화1동
16541,126.8678151,37.5550445,한마음아파트,염창동
16542,126.8572149,37.52979428,곰달래아파트,화곡2동
16543,126.8479741,37.5426468,본동사무소,화곡본동
16544,126.8422124,37.54124705,볏골어린이공원,화곡본동
16545,126.8121203,37.57339972,방신시장.LG베스트샵,방화1동
16546,126.8211341,37.55874461,마곡엠밸리11.12단지상가,공항동
16547,126.8542115,37.52943377,삼성아파트,화곡2동
16548,126.8490739,37.54217874,거성빌라,화곡본동
16549,126.8199111,37.55795789,마곡13단지힐스테이트상가,공항동
16550,126.8376286,37.5717978,겸재정선미술관입구,가양1동
16551,126.8509972,37.55382512,한국건강관리협회,화곡6동
16552,126.8626081,37.55718046,이마트.증미역,가양3동
16553,126.8518067,37.5291208,은창아파트,화곡2동
16554,126.8502913,37.54177299,강서구립봉제산어르신복지센터,화곡본동
16555,126.8427421,37.54281926,화곡본동시장,화곡본동
16556,126.8371205,37.57433998,금호APT,가양1동
16557,126.8496142,37.55320432,강서구청입구,화곡6동
16558,126.8571485,37.55862474,등촌강변샤르망오피스텔,등촌1동
16559,126.8179906,37.55673739,마곡13단지힐스테이트후문,공항동
16560,126.8510552,37.5405746,대영마트,화곡본동
