구,동,인구,면적,인구밀도,연도
서초구,반포1동,33237,1.00,33237,2019
서초구,반포2동,16385,1.35,12137,2019
서초구,반포3동,20390,1.28,15930,2019
서초구,반포4동,20232,1.43,14148,2019
서초구,방배본동,21585,0.67,32216,2019
서초구,방배1동,17524,0.70,25034,2019
서초구,방배2동,20958,1.93,10859,2019
서초구,방배3동,22455,2.40,9356,2019
서초구,방배4동,24083,0.98,24574,2019
서초구,양재1동,45940,5.76,7976,2019
서초구,양재2동,23161,7.58,3056,2019
서초구,내곡동,18481,12.68,1457,2019
강남구,신사동,17546,1.89,9284,2019
강남구,논현1동,23792,1.25,19034,2019
강남구,논현2동,21904,1.47,14901,2019
강남구,삼성1동,14920,1.94,7691,2019
강남구,삼성2동,30674,1.24,24737,2019
강남구,대치1동,25302,0.79,32028,2019
강남구,대치4동,20822,0.73,28523,2019
강남구,역삼1동,37002,2.35,15746,2019
강남구,역삼2동,37336,1.15,32466,2019
강남구,도곡1동,22626,1.02,22182,2019
강남구,도곡2동,34437,1.02,33762,2019
강남구,개포1동,6920,1.27,5449,2019
강남구,개포4동,18405,1.49,12352,2019
강남구,일원본동,24399,2.58,9457,2019
강남구,일원1동,16438,0.92,17867,2019
강남구,일원2동,18160,1.24,14645,2019
강남구,수서동,15934,1.43,11143,2019
강남구,세곡동,45064,6.36,7086,2019
강남구,압구정동,27712,2.53,10953,2019
강남구,청담동,30120,2.33,12927,2019
강남구,대치2동,38647,2.00,19324,2019
강남구,개포2동,22049,2.51,8784,2019
송파구,풍납1동,15518,0.77,20153,2019
송파구,풍납2동,25288,1.59,15904,2019
송파구,거여1동,13221,0.51,25924,2019
송파구,거여2동,16921,0.53,31926,2019
송파구,마천1동,20764,0.58,35800,2019
송파구,마천2동,20242,0.89,22744,2019
송파구,방이1동,16524,0.50,33048,2019
송파구,방이2동,26044,0.80,32555,2019
송파구,오륜동,18864,3.17,5951,2019
송파구,오금동,41067,1.65,24889,2019
송파구,송파1동,26026,0.79,32944,2019
송파구,송파2동,20862,0.53,39362,2019
송파구,석촌동,34309,0.95,36115,2019
송파구,삼전동,32613,0.95,34329,2019
송파구,가락본동,27876,1.13,24669,2019
송파구,가락1동,27716,1.34,20684,2019
송파구,가락2동,33920,0.96,35333,2019
송파구,문정1동,21301,0.56,38038,2019
송파구,문정2동,29967,2.20,13621,2019
송파구,잠실본동,29628,0.94,31519,2019
송파구,잠실4동,22240,1.56,14256,2019
송파구,잠실6동,17441,2.79,6251,2019
송파구,잠실7동,10191,0.60,16985,2019
송파구,잠실2동,36809,2.18,16885,2019
송파구,잠실3동,36038,1.49,24187,2019
송파구,장지동,33055,1.37,24128,2019
송파구,위례동,28296,2.55,11096,2019
강동구,강일동,32127,2.80,11474,2019
강동구,상일동,10773,2.65,4065,2019
강동구,명일1동,26758,0.61,43866,2019
강동구,명일2동,17778,0.97,18328,2019
강동구,고덕1동,27079,1.73,15653,2019
강동구,고덕2동,19345,2.01,9624,2019
강동구,암사2동,14774,1.18,12520,2019
강동구,암사3동,18693,2.51,7447,2019
강동구,천호1동,28400,0.71,40000,2019
강동구,천호3동,27996,0.79,35438,2019
